iso3c,region
AGO,Southern Africa
BWA,Southern Africa
COD,Southern Africa
SWZ,Southern Africa
LSO,Southern Africa
MDG,Southern Africa
MWI,Southern Africa
MOZ,Southern Africa
NAM,Southern Africa
ZAF,Southern Africa
TZA,Southern Africa
ZMB,Southern Africa
ZWE,Southern Africa
BDI,East Africa
ETH,East Africa
ERI,East Africa
KEN,East Africa
SOM,East Africa
SSD,East Africa
SDN,East Africa
RWA,East Africa
UGA,East Africa
BEN,West Africa
BFA,West Africa
TCD,West Africa
CPV,West Africa
CMR,West Africa
CAF,West Africa
CIV,West Africa
GAB,West Africa
GMB,West Africa
GHA,West Africa
GIN,West Africa
GNB,West Africa
LBR,West Africa
MRT,West Africa
MLI,West Africa
NGA,West Africa
NER,West Africa
COG,West Africa
SLE,West Africa
SEN,West Africa
TGO,West Africa
DZA,North Africa
EGY,North Africa
LBY,North Africa
MAR,North Africa
TUN,North Africa
